Mes y año	Municipio código	Municipio nombre	Sexo	Edad (Grupos Quinquenales 2010)	Afiliaciones en alta
January 2021	22001	Abiego	Hombres	20-24	1
January 2021	22001	Abiego	Hombres	25-29	1
January 2021	22001	Abiego	Hombres	30-34	4
January 2021	22001	Abiego	Hombres	35-39	5
January 2021	22001	Abiego	Hombres	40-44	7
January 2021	22001	Abiego	Hombres	45-49	4
January 2021	22001	Abiego	Hombres	50-54	4
January 2021	22001	Abiego	Hombres	55-59	4
January 2021	22001	Abiego	Hombres	60-64	5
January 2021	22002	Abizanda	Hombres	30-34	2
January 2021	22002	Abizanda	Hombres	35-39	1
January 2021	22002	Abizanda	Hombres	40-44	1
January 2021	22002	Abizanda	Hombres	65-69	1
January 2021	22003	Adahuesca	Hombres	20-24	1
January 2021	22003	Adahuesca	Hombres	25-29	2
January 2021	22003	Adahuesca	Hombres	30-34	4
January 2021	22003	Adahuesca	Hombres	35-39	2
January 2021	22003	Adahuesca	Hombres	45-49	1
January 2021	22003	Adahuesca	Hombres	50-54	2
January 2021	22003	Adahuesca	Hombres	55-59	1
January 2021	22003	Adahuesca	Hombres	60-64	2
January 2021	22003	Adahuesca	Hombres	65-69	1
January 2021	22004	Agüero	Hombres	20-24	1
January 2021	22004	Agüero	Hombres	35-39	2
January 2021	22004	Agüero	Hombres	40-44	1
January 2021	22004	Agüero	Hombres	45-49	1
January 2021	22004	Agüero	Hombres	50-54	3
January 2021	22004	Agüero	Hombres	55-59	2
January 2021	22004	Agüero	Hombres	60-64	2
January 2021	22004	Agüero	Hombres	65-69	1
January 2021	22006	Aísa	Hombres	25-29	3
January 2021	22006	Aísa	Hombres	30-34	3
January 2021	22006	Aísa	Hombres	35-39	6
January 2021	22006	Aísa	Hombres	40-44	4
January 2021	22006	Aísa	Hombres	45-49	2
January 2021	22006	Aísa	Hombres	50-54	10
January 2021	22006	Aísa	Hombres	55-59	4
January 2021	22006	Aísa	Hombres	60-64	6
January 2021	22006	Aísa	Hombres	65-69	2
January 2021	22006	Aísa	Hombres	Más de 69	1
January 2021	22007	Albalate de Cinca	Hombres	20-24	5
January 2021	22007	Albalate de Cinca	Hombres	25-29	11
January 2021	22007	Albalate de Cinca	Hombres	30-34	8
January 2021	22007	Albalate de Cinca	Hombres	35-39	15
January 2021	22007	Albalate de Cinca	Hombres	40-44	11
January 2021	22007	Albalate de Cinca	Hombres	45-49	21
January 2021	22007	Albalate de Cinca	Hombres	50-54	16
January 2021	22007	Albalate de Cinca	Hombres	55-59	10
January 2021	22007	Albalate de Cinca	Hombres	60-64	12
January 2021	22007	Albalate de Cinca	Hombres	Más de 69	1
January 2021	22008	Albalatillo	Hombres	20-24	1
January 2021	22008	Albalatillo	Hombres	25-29	4
January 2021	22008	Albalatillo	Hombres	30-34	2
January 2021	22008	Albalatillo	Hombres	35-39	4
January 2021	22008	Albalatillo	Hombres	40-44	2
January 2021	22008	Albalatillo	Hombres	45-49	1
January 2021	22008	Albalatillo	Hombres	50-54	1
January 2021	22008	Albalatillo	Hombres	55-59	2
January 2021	22008	Albalatillo	Hombres	60-64	6
January 2021	22008	Albalatillo	Hombres	65-69	1
January 2021	22009	Albelda	Hombres	20-24	1
January 2021	22009	Albelda	Hombres	25-29	4
January 2021	22009	Albelda	Hombres	30-34	10
January 2021	22009	Albelda	Hombres	35-39	10
January 2021	22009	Albelda	Hombres	40-44	16
January 2021	22009	Albelda	Hombres	45-49	14
January 2021	22009	Albelda	Hombres	50-54	11
January 2021	22009	Albelda	Hombres	55-59	22
January 2021	22009	Albelda	Hombres	60-64	14
January 2021	22009	Albelda	Hombres	Más de 69	1
January 2021	22011	Albero Alto	Hombres	25-29	1
January 2021	22011	Albero Alto	Hombres	30-34	1
January 2021	22011	Albero Alto	Hombres	35-39	1
January 2021	22011	Albero Alto	Hombres	45-49	1
January 2021	22011	Albero Alto	Hombres	55-59	1
January 2021	22011	Albero Alto	Hombres	60-64	3
January 2021	22012	Albero Bajo	Hombres	25-29	2
January 2021	22012	Albero Bajo	Hombres	30-34	3
January 2021	22012	Albero Bajo	Hombres	35-39	2
January 2021	22012	Albero Bajo	Hombres	40-44	2
January 2021	22012	Albero Bajo	Hombres	45-49	3
January 2021	22012	Albero Bajo	Hombres	50-54	2
January 2021	22012	Albero Bajo	Hombres	55-59	1
January 2021	22012	Albero Bajo	Hombres	60-64	2
January 2021	22012	Albero Bajo	Hombres	65-69	2
January 2021	22013	Alberuela de Tubo	Hombres	16-19	1
January 2021	22013	Alberuela de Tubo	Hombres	20-24	3
January 2021	22013	Alberuela de Tubo	Hombres	25-29	2
January 2021	22013	Alberuela de Tubo	Hombres	30-34	4
January 2021	22013	Alberuela de Tubo	Hombres	35-39	3
January 2021	22013	Alberuela de Tubo	Hombres	40-44	6
January 2021	22013	Alberuela de Tubo	Hombres	45-49	8
January 2021	22013	Alberuela de Tubo	Hombres	50-54	8
January 2021	22013	Alberuela de Tubo	Hombres	55-59	10
January 2021	22013	Alberuela de Tubo	Hombres	60-64	7
January 2021	22014	Alcalá de Gurrea	Hombres	25-29	1
January 2021	22014	Alcalá de Gurrea	Hombres	30-34	5
January 2021	22014	Alcalá de Gurrea	Hombres	35-39	4
January 2021	22014	Alcalá de Gurrea	Hombres	40-44	3
January 2021	22014	Alcalá de Gurrea	Hombres	45-49	1
January 2021	22014	Alcalá de Gurrea	Hombres	50-54	4
January 2021	22014	Alcalá de Gurrea	Hombres	55-59	1
January 2021	22014	Alcalá de Gurrea	Hombres	60-64	5
January 2021	22015	Alcalá del Obispo	Hombres	20-24	2
January 2021	22015	Alcalá del Obispo	Hombres	25-29	1
January 2021	22015	Alcalá del Obispo	Hombres	30-34	3
January 2021	22015	Alcalá del Obispo	Hombres	35-39	1
January 2021	22015	Alcalá del Obispo	Hombres	40-44	3
January 2021	22015	Alcalá del Obispo	Hombres	45-49	8
January 2021	22015	Alcalá del Obispo	Hombres	50-54	4
January 2021	22015	Alcalá del Obispo	Hombres	55-59	3
January 2021	22015	Alcalá del Obispo	Hombres	60-64	5
January 2021	22015	Alcalá del Obispo	Hombres	65-69	1
January 2021	22016	Alcampell	Hombres	25-29	4
January 2021	22016	Alcampell	Hombres	30-34	13
January 2021	22016	Alcampell	Hombres	35-39	14
January 2021	22016	Alcampell	Hombres	40-44	7
January 2021	22016	Alcampell	Hombres	45-49	9
January 2021	22016	Alcampell	Hombres	50-54	11
January 2021	22016	Alcampell	Hombres	55-59	14
January 2021	22016	Alcampell	Hombres	60-64	11
January 2021	22016	Alcampell	Hombres	65-69	4
January 2021	22017	Alcolea de Cinca	Hombres	20-24	5
January 2021	22017	Alcolea de Cinca	Hombres	25-29	7
January 2021	22017	Alcolea de Cinca	Hombres	30-34	11
January 2021	22017	Alcolea de Cinca	Hombres	35-39	11
January 2021	22017	Alcolea de Cinca	Hombres	40-44	10
January 2021	22017	Alcolea de Cinca	Hombres	45-49	20
January 2021	22017	Alcolea de Cinca	Hombres	50-54	22
January 2021	22017	Alcolea de Cinca	Hombres	55-59	14
January 2021	22017	Alcolea de Cinca	Hombres	60-64	14
January 2021	22017	Alcolea de Cinca	Hombres	65-69	1
January 2021	22018	Alcubierre	Hombres	16-19	1
January 2021	22018	Alcubierre	Hombres	20-24	1
January 2021	22018	Alcubierre	Hombres	25-29	4
January 2021	22018	Alcubierre	Hombres	30-34	9
January 2021	22018	Alcubierre	Hombres	35-39	8
January 2021	22018	Alcubierre	Hombres	40-44	11
January 2021	22018	Alcubierre	Hombres	45-49	7
January 2021	22018	Alcubierre	Hombres	50-54	7
January 2021	22018	Alcubierre	Hombres	55-59	3
January 2021	22018	Alcubierre	Hombres	60-64	8
January 2021	22019	Alerre	Hombres	25-29	2
January 2021	22019	Alerre	Hombres	30-34	1
January 2021	22019	Alerre	Hombres	35-39	2
January 2021	22019	Alerre	Hombres	50-54	1
January 2021	22019	Alerre	Hombres	55-59	2
January 2021	22019	Alerre	Hombres	60-64	2
January 2021	22019	Alerre	Hombres	65-69	1
January 2021	22020	Alfántega	Hombres	20-24	2
January 2021	22020	Alfántega	Hombres	30-34	2
January 2021	22020	Alfántega	Hombres	35-39	1
January 2021	22020	Alfántega	Hombres	40-44	2
January 2021	22020	Alfántega	Hombres	45-49	2
January 2021	22020	Alfántega	Hombres	50-54	2
January 2021	22020	Alfántega	Hombres	55-59	1
January 2021	22020	Alfántega	Hombres	60-64	3
January 2021	22021	Almudévar	Hombres	20-24	5
January 2021	22021	Almudévar	Hombres	25-29	16
January 2021	22021	Almudévar	Hombres	30-34	16
January 2021	22021	Almudévar	Hombres	35-39	27
January 2021	22021	Almudévar	Hombres	40-44	24
January 2021	22021	Almudévar	Hombres	45-49	25
January 2021	22021	Almudévar	Hombres	50-54	27
January 2021	22021	Almudévar	Hombres	55-59	22
January 2021	22021	Almudévar	Hombres	60-64	15
January 2021	22021	Almudévar	Hombres	65-69	2
January 2021	22022	Almunia de San Juan	Hombres	20-24	2
January 2021	22022	Almunia de San Juan	Hombres	25-29	3
January 2021	22022	Almunia de San Juan	Hombres	30-34	4
January 2021	22022	Almunia de San Juan	Hombres	35-39	7
January 2021	22022	Almunia de San Juan	Hombres	40-44	8
January 2021	22022	Almunia de San Juan	Hombres	45-49	7
January 2021	22022	Almunia de San Juan	Hombres	50-54	4
January 2021	22022	Almunia de San Juan	Hombres	55-59	3
January 2021	22022	Almunia de San Juan	Hombres	60-64	2
January 2021	22023	Almuniente	Hombres	16-19	1
January 2021	22023	Almuniente	Hombres	20-24	1
January 2021	22023	Almuniente	Hombres	25-29	4
January 2021	22023	Almuniente	Hombres	30-34	11
January 2021	22023	Almuniente	Hombres	35-39	13
January 2021	22023	Almuniente	Hombres	40-44	4
January 2021	22023	Almuniente	Hombres	45-49	8
January 2021	22023	Almuniente	Hombres	50-54	3
January 2021	22023	Almuniente	Hombres	55-59	9
January 2021	22023	Almuniente	Hombres	60-64	11
January 2021	22024	Alquézar	Hombres	25-29	1
January 2021	22024	Alquézar	Hombres	30-34	3
January 2021	22024	Alquézar	Hombres	35-39	5
January 2021	22024	Alquézar	Hombres	40-44	4
January 2021	22024	Alquézar	Hombres	45-49	5
January 2021	22024	Alquézar	Hombres	50-54	4
January 2021	22024	Alquézar	Hombres	55-59	5
January 2021	22024	Alquézar	Hombres	60-64	3
January 2021	22025	Altorricón	Hombres	16-19	1
January 2021	22025	Altorricón	Hombres	20-24	2
January 2021	22025	Altorricón	Hombres	25-29	19
January 2021	22025	Altorricón	Hombres	30-34	20
January 2021	22025	Altorricón	Hombres	35-39	16
January 2021	22025	Altorricón	Hombres	40-44	24
January 2021	22025	Altorricón	Hombres	45-49	28
January 2021	22025	Altorricón	Hombres	50-54	20
January 2021	22025	Altorricón	Hombres	55-59	25
January 2021	22025	Altorricón	Hombres	60-64	24
January 2021	22025	Altorricón	Hombres	65-69	5
January 2021	22027	Angüés	Hombres	20-24	1
January 2021	22027	Angüés	Hombres	25-29	3
January 2021	22027	Angüés	Hombres	30-34	4
January 2021	22027	Angüés	Hombres	35-39	7
January 2021	22027	Angüés	Hombres	40-44	3
January 2021	22027	Angüés	Hombres	45-49	3
January 2021	22027	Angüés	Hombres	50-54	8
January 2021	22027	Angüés	Hombres	55-59	5
January 2021	22027	Angüés	Hombres	60-64	1
January 2021	22028	Ansó	Hombres	20-24	1
January 2021	22028	Ansó	Hombres	25-29	1
January 2021	22028	Ansó	Hombres	30-34	7
January 2021	22028	Ansó	Hombres	35-39	9
January 2021	22028	Ansó	Hombres	40-44	6
January 2021	22028	Ansó	Hombres	45-49	9
January 2021	22028	Ansó	Hombres	50-54	5
January 2021	22028	Ansó	Hombres	55-59	7
January 2021	22028	Ansó	Hombres	60-64	4
January 2021	22029	Antillón	Hombres	20-24	1
January 2021	22029	Antillón	Hombres	25-29	2
January 2021	22029	Antillón	Hombres	30-34	2
January 2021	22029	Antillón	Hombres	35-39	1
January 2021	22029	Antillón	Hombres	40-44	1
January 2021	22029	Antillón	Hombres	45-49	4
January 2021	22029	Antillón	Hombres	50-54	4
January 2021	22029	Antillón	Hombres	55-59	2
January 2021	22029	Antillón	Hombres	60-64	2
January 2021	22032	Aragüés del Puerto	Hombres	35-39	1
January 2021	22032	Aragüés del Puerto	Hombres	40-44	2
January 2021	22032	Aragüés del Puerto	Hombres	60-64	1
January 2021	22035	Arén	Hombres	16-19	1
January 2021	22035	Arén	Hombres	20-24	1
January 2021	22035	Arén	Hombres	25-29	2
January 2021	22035	Arén	Hombres	30-34	2
January 2021	22035	Arén	Hombres	35-39	2
January 2021	22035	Arén	Hombres	40-44	6
January 2021	22035	Arén	Hombres	45-49	4
January 2021	22035	Arén	Hombres	50-54	9
January 2021	22035	Arén	Hombres	55-59	4
January 2021	22035	Arén	Hombres	60-64	6
January 2021	22035	Arén	Hombres	65-69	1
January 2021	22036	Argavieso	Hombres	25-29	1
January 2021	22036	Argavieso	Hombres	30-34	1
January 2021	22036	Argavieso	Hombres	40-44	2
January 2021	22036	Argavieso	Hombres	45-49	1
January 2021	22037	Arguis	Hombres	25-29	1
January 2021	22037	Arguis	Hombres	30-34	1
January 2021	22037	Arguis	Hombres	40-44	1
January 2021	22037	Arguis	Hombres	45-49	2
January 2021	22037	Arguis	Hombres	50-54	1
January 2021	22037	Arguis	Hombres	60-64	1
January 2021	22039	Ayerbe	Hombres	20-24	1
January 2021	22039	Ayerbe	Hombres	30-34	9
January 2021	22039	Ayerbe	Hombres	35-39	17
January 2021	22039	Ayerbe	Hombres	40-44	9
January 2021	22039	Ayerbe	Hombres	45-49	5
January 2021	22039	Ayerbe	Hombres	50-54	13
January 2021	22039	Ayerbe	Hombres	55-59	11
January 2021	22039	Ayerbe	Hombres	60-64	9
January 2021	22040	Azanuy-Alins	Hombres	20-24	1
January 2021	22040	Azanuy-Alins	Hombres	30-34	1
January 2021	22040	Azanuy-Alins	Hombres	40-44	3
January 2021	22040	Azanuy-Alins	Hombres	45-49	1
January 2021	22040	Azanuy-Alins	Hombres	50-54	1
January 2021	22040	Azanuy-Alins	Hombres	55-59	2
January 2021	22040	Azanuy-Alins	Hombres	60-64	4
January 2021	22041	Azara	Hombres	25-29	3
January 2021	22041	Azara	Hombres	35-39	2
January 2021	22041	Azara	Hombres	40-44	3
January 2021	22041	Azara	Hombres	45-49	1
January 2021	22041	Azara	Hombres	50-54	2
January 2021	22041	Azara	Hombres	55-59	1
January 2021	22041	Azara	Hombres	65-69	1
January 2021	22042	Azlor	Hombres	25-29	2
January 2021	22042	Azlor	Hombres	30-34	1
January 2021	22042	Azlor	Hombres	35-39	1
January 2021	22042	Azlor	Hombres	40-44	2
January 2021	22042	Azlor	Hombres	45-49	2
January 2021	22042	Azlor	Hombres	60-64	1
January 2021	22043	Baells	Hombres	30-34	1
January 2021	22043	Baells	Hombres	35-39	2
January 2021	22043	Baells	Hombres	45-49	2
January 2021	22043	Baells	Hombres	55-59	4
January 2021	22043	Baells	Hombres	60-64	7
January 2021	22044	Bailo	Hombres	20-24	1
January 2021	22044	Bailo	Hombres	25-29	1
January 2021	22044	Bailo	Hombres	30-34	2
January 2021	22044	Bailo	Hombres	35-39	1
January 2021	22044	Bailo	Hombres	40-44	3
January 2021	22044	Bailo	Hombres	45-49	7
January 2021	22044	Bailo	Hombres	50-54	8
January 2021	22044	Bailo	Hombres	55-59	7
January 2021	22044	Bailo	Hombres	60-64	5
January 2021	22045	Baldellou	Hombres	40-44	1
January 2021	22045	Baldellou	Hombres	45-49	4
January 2021	22045	Baldellou	Hombres	50-54	2
January 2021	22045	Baldellou	Hombres	60-64	2
January 2021	22046	Ballobar	Hombres	20-24	2
January 2021	22046	Ballobar	Hombres	25-29	7
January 2021	22046	Ballobar	Hombres	30-34	9
January 2021	22046	Ballobar	Hombres	35-39	8
January 2021	22046	Ballobar	Hombres	40-44	10
January 2021	22046	Ballobar	Hombres	45-49	14
January 2021	22046	Ballobar	Hombres	50-54	11
January 2021	22046	Ballobar	Hombres	55-59	13
January 2021	22046	Ballobar	Hombres	60-64	20
January 2021	22046	Ballobar	Hombres	65-69	3
January 2021	22046	Ballobar	Hombres	Más de 69	1
January 2021	22047	Banastás	Hombres	25-29	1
January 2021	22047	Banastás	Hombres	35-39	4
January 2021	22047	Banastás	Hombres	40-44	3
January 2021	22047	Banastás	Hombres	45-49	3
January 2021	22047	Banastás	Hombres	50-54	2
January 2021	22047	Banastás	Hombres	55-59	2
January 2021	22047	Banastás	Hombres	65-69	1
January 2021	22048	Barbastro	Hombres	16-19	3
January 2021	22048	Barbastro	Hombres	20-24	24
January 2021	22048	Barbastro	Hombres	25-29	43
January 2021	22048	Barbastro	Hombres	30-34	95
January 2021	22048	Barbastro	Hombres	35-39	110
January 2021	22048	Barbastro	Hombres	40-44	147
January 2021	22048	Barbastro	Hombres	45-49	146
January 2021	22048	Barbastro	Hombres	50-54	129
January 2021	22048	Barbastro	Hombres	55-59	114
January 2021	22048	Barbastro	Hombres	60-64	104
January 2021	22048	Barbastro	Hombres	65-69	9
January 2021	22048	Barbastro	Hombres	Más de 69	5
January 2021	22049	Barbués	Hombres	20-24	1
January 2021	22049	Barbués	Hombres	30-34	1
January 2021	22049	Barbués	Hombres	35-39	1
January 2021	22049	Barbués	Hombres	40-44	2
January 2021	22049	Barbués	Hombres	45-49	5
January 2021	22049	Barbués	Hombres	50-54	4
January 2021	22049	Barbués	Hombres	55-59	3
January 2021	22049	Barbués	Hombres	60-64	1
January 2021	22050	Barbuñales	Hombres	20-24	1
January 2021	22050	Barbuñales	Hombres	25-29	1
January 2021	22050	Barbuñales	Hombres	30-34	1
January 2021	22050	Barbuñales	Hombres	35-39	1
January 2021	22050	Barbuñales	Hombres	40-44	1
January 2021	22050	Barbuñales	Hombres	45-49	1
January 2021	22050	Barbuñales	Hombres	50-54	2
January 2021	22050	Barbuñales	Hombres	55-59	2
January 2021	22051	Bárcabo	Hombres	30-34	1
January 2021	22051	Bárcabo	Hombres	40-44	1
January 2021	22051	Bárcabo	Hombres	45-49	4
January 2021	22051	Bárcabo	Hombres	50-54	1
January 2021	22051	Bárcabo	Hombres	55-59	3
January 2021	22052	Belver de Cinca	Hombres	16-19	1
January 2021	22052	Belver de Cinca	Hombres	20-24	1
January 2021	22052	Belver de Cinca	Hombres	25-29	11
January 2021	22052	Belver de Cinca	Hombres	30-34	26
January 2021	22052	Belver de Cinca	Hombres	35-39	21
January 2021	22052	Belver de Cinca	Hombres	40-44	19
January 2021	22052	Belver de Cinca	Hombres	45-49	19
January 2021	22052	Belver de Cinca	Hombres	50-54	26
January 2021	22052	Belver de Cinca	Hombres	55-59	14
January 2021	22052	Belver de Cinca	Hombres	60-64	18
January 2021	22052	Belver de Cinca	Hombres	65-69	2
January 2021	22053	Benabarre	Hombres	16-19	1
January 2021	22053	Benabarre	Hombres	20-24	4
January 2021	22053	Benabarre	Hombres	25-29	7
January 2021	22053	Benabarre	Hombres	30-34	16
January 2021	22053	Benabarre	Hombres	35-39	12
January 2021	22053	Benabarre	Hombres	40-44	13
January 2021	22053	Benabarre	Hombres	45-49	19
January 2021	22053	Benabarre	Hombres	50-54	20
January 2021	22053	Benabarre	Hombres	55-59	17
January 2021	22053	Benabarre	Hombres	60-64	27
January 2021	22053	Benabarre	Hombres	65-69	5
January 2021	22054	Benasque	Hombres	16-19	1
January 2021	22054	Benasque	Hombres	20-24	5
January 2021	22054	Benasque	Hombres	25-29	8
January 2021	22054	Benasque	Hombres	30-34	26
January 2021	22054	Benasque	Hombres	35-39	25
January 2021	22054	Benasque	Hombres	40-44	26
January 2021	22054	Benasque	Hombres	45-49	17
January 2021	22054	Benasque	Hombres	50-54	29
January 2021	22054	Benasque	Hombres	55-59	16
January 2021	22054	Benasque	Hombres	60-64	15
January 2021	22054	Benasque	Hombres	Más de 69	3
January 2021	22055	Berbegal	Hombres	20-24	2
January 2021	22055	Berbegal	Hombres	25-29	3
January 2021	22055	Berbegal	Hombres	30-34	5
January 2021	22055	Berbegal	Hombres	35-39	4
January 2021	22055	Berbegal	Hombres	40-44	3
January 2021	22055	Berbegal	Hombres	45-49	11
January 2021	22055	Berbegal	Hombres	50-54	7
January 2021	22055	Berbegal	Hombres	55-59	1
January 2021	22055	Berbegal	Hombres	60-64	8
January 2021	22057	Bielsa	Hombres	30-34	2
January 2021	22057	Bielsa	Hombres	35-39	7
January 2021	22057	Bielsa	Hombres	40-44	3
January 2021	22057	Bielsa	Hombres	45-49	8
January 2021	22057	Bielsa	Hombres	50-54	6
January 2021	22057	Bielsa	Hombres	55-59	5
January 2021	22057	Bielsa	Hombres	60-64	1
January 2021	22058	Bierge	Hombres	20-24	1
January 2021	22058	Bierge	Hombres	25-29	1
January 2021	22058	Bierge	Hombres	30-34	1
January 2021	22058	Bierge	Hombres	35-39	1
January 2021	22058	Bierge	Hombres	40-44	7
January 2021	22058	Bierge	Hombres	50-54	4
January 2021	22058	Bierge	Hombres	55-59	1
January 2021	22058	Bierge	Hombres	60-64	2
January 2021	22059	Biescas	Hombres	16-19	1
January 2021	22059	Biescas	Hombres	20-24	1
January 2021	22059	Biescas	Hombres	25-29	4
January 2021	22059	Biescas	Hombres	30-34	11
January 2021	22059	Biescas	Hombres	35-39	18
January 2021	22059	Biescas	Hombres	40-44	12
January 2021	22059	Biescas	Hombres	45-49	15
January 2021	22059	Biescas	Hombres	50-54	11
January 2021	22059	Biescas	Hombres	55-59	8
January 2021	22059	Biescas	Hombres	60-64	4
January 2021	22060	Binaced	Hombres	20-24	1
January 2021	22060	Binaced	Hombres	25-29	15
January 2021	22060	Binaced	Hombres	30-34	18
January 2021	22060	Binaced	Hombres	35-39	23
January 2021	22060	Binaced	Hombres	40-44	28
January 2021	22060	Binaced	Hombres	45-49	17
January 2021	22060	Binaced	Hombres	50-54	20
January 2021	22060	Binaced	Hombres	55-59	27
January 2021	22060	Binaced	Hombres	60-64	19
January 2021	22060	Binaced	Hombres	65-69	1
January 2021	22061	Binéfar	Hombres	16-19	1
January 2021	22061	Binéfar	Hombres	20-24	12
January 2021	22061	Binéfar	Hombres	25-29	38
January 2021	22061	Binéfar	Hombres	30-34	79
January 2021	22061	Binéfar	Hombres	35-39	92
January 2021	22061	Binéfar	Hombres	40-44	113
January 2021	22061	Binéfar	Hombres	45-49	110
January 2021	22061	Binéfar	Hombres	50-54	101
January 2021	22061	Binéfar	Hombres	55-59	73
January 2021	22061	Binéfar	Hombres	60-64	69
January 2021	22061	Binéfar	Hombres	65-69	11
January 2021	22061	Binéfar	Hombres	Más de 69	6
January 2021	22062	Bisaurri	Hombres	30-34	1
January 2021	22062	Bisaurri	Hombres	35-39	4
January 2021	22062	Bisaurri	Hombres	40-44	2
January 2021	22062	Bisaurri	Hombres	45-49	2
January 2021	22062	Bisaurri	Hombres	50-54	8
January 2021	22062	Bisaurri	Hombres	55-59	5
January 2021	22062	Bisaurri	Hombres	60-64	7
January 2021	22063	Biscarrués	Hombres	20-24	1
January 2021	22063	Biscarrués	Hombres	25-29	2
January 2021	22063	Biscarrués	Hombres	30-34	1
January 2021	22063	Biscarrués	Hombres	35-39	2
January 2021	22063	Biscarrués	Hombres	40-44	5
January 2021	22063	Biscarrués	Hombres	45-49	3
January 2021	22063	Biscarrués	Hombres	50-54	3
January 2021	22063	Biscarrués	Hombres	55-59	1
January 2021	22063	Biscarrués	Hombres	60-64	5
January 2021	22064	Blecua y Torres	Hombres	20-24	1
January 2021	22064	Blecua y Torres	Hombres	25-29	1
January 2021	22064	Blecua y Torres	Hombres	30-34	2
January 2021	22064	Blecua y Torres	Hombres	35-39	2
January 2021	22064	Blecua y Torres	Hombres	40-44	2
January 2021	22064	Blecua y Torres	Hombres	45-49	5
January 2021	22064	Blecua y Torres	Hombres	50-54	2
January 2021	22064	Blecua y Torres	Hombres	60-64	3
January 2021	22066	Boltaña	Hombres	20-24	4
January 2021	22066	Boltaña	Hombres	25-29	2
January 2021	22066	Boltaña	Hombres	30-34	8
January 2021	22066	Boltaña	Hombres	35-39	9
January 2021	22066	Boltaña	Hombres	40-44	10
January 2021	22066	Boltaña	Hombres	45-49	10
January 2021	22066	Boltaña	Hombres	50-54	8
January 2021	22066	Boltaña	Hombres	55-59	13
January 2021	22066	Boltaña	Hombres	60-64	4
January 2021	22066	Boltaña	Hombres	65-69	1
January 2021	22067	Bonansa	Hombres	20-24	1
January 2021	22067	Bonansa	Hombres	30-34	1
January 2021	22067	Bonansa	Hombres	35-39	2
January 2021	22067	Bonansa	Hombres	45-49	3
January 2021	22067	Bonansa	Hombres	50-54	2
January 2021	22067	Bonansa	Hombres	55-59	2
January 2021	22068	Borau	Hombres	40-44	2
January 2021	22068	Borau	Hombres	45-49	1
January 2021	22068	Borau	Hombres	50-54	1
January 2021	22068	Borau	Hombres	60-64	1
January 2021	22069	Broto	Hombres	20-24	2
January 2021	22069	Broto	Hombres	25-29	5
January 2021	22069	Broto	Hombres	30-34	10
January 2021	22069	Broto	Hombres	35-39	5
January 2021	22069	Broto	Hombres	40-44	8
January 2021	22069	Broto	Hombres	45-49	14
January 2021	22069	Broto	Hombres	50-54	14
January 2021	22069	Broto	Hombres	55-59	8
January 2021	22069	Broto	Hombres	60-64	10
January 2021	22069	Broto	Hombres	65-69	2
January 2021	22072	Caldearenas	Hombres	25-29	3
January 2021	22072	Caldearenas	Hombres	35-39	2
January 2021	22072	Caldearenas	Hombres	40-44	2
January 2021	22072	Caldearenas	Hombres	45-49	1
January 2021	22072	Caldearenas	Hombres	50-54	4
January 2021	22072	Caldearenas	Hombres	55-59	2
January 2021	22072	Caldearenas	Hombres	60-64	4
January 2021	22074	Campo	Hombres	20-24	1
January 2021	22074	Campo	Hombres	25-29	3
January 2021	22074	Campo	Hombres	30-34	4
January 2021	22074	Campo	Hombres	35-39	6
January 2021	22074	Campo	Hombres	40-44	6
January 2021	22074	Campo	Hombres	45-49	4
January 2021	22074	Campo	Hombres	50-54	5
January 2021	22074	Campo	Hombres	55-59	4
January 2021	22074	Campo	Hombres	60-64	5
January 2021	22074	Campo	Hombres	Más de 69	2
January 2021	22075	Camporrells	Hombres	25-29	3
January 2021	22075	Camporrells	Hombres	30-34	1
January 2021	22075	Camporrells	Hombres	40-44	2
January 2021	22075	Camporrells	Hombres	45-49	1
January 2021	22075	Camporrells	Hombres	50-54	3
January 2021	22075	Camporrells	Hombres	55-59	1
January 2021	22075	Camporrells	Hombres	60-64	1
January 2021	22076	Canal de Berdún	Hombres	20-24	1
January 2021	22076	Canal de Berdún	Hombres	25-29	1
January 2021	22076	Canal de Berdún	Hombres	30-34	5
January 2021	22076	Canal de Berdún	Hombres	35-39	3
January 2021	22076	Canal de Berdún	Hombres	40-44	2
January 2021	22076	Canal de Berdún	Hombres	45-49	11
January 2021	22076	Canal de Berdún	Hombres	50-54	8
January 2021	22076	Canal de Berdún	Hombres	55-59	4
January 2021	22076	Canal de Berdún	Hombres	60-64	5
January 2021	22077	Candasnos	Hombres	20-24	2
January 2021	22077	Candasnos	Hombres	25-29	6
January 2021	22077	Candasnos	Hombres	30-34	11
January 2021	22077	Candasnos	Hombres	35-39	10
January 2021	22077	Candasnos	Hombres	40-44	12
January 2021	22077	Candasnos	Hombres	45-49	5
January 2021	22077	Candasnos	Hombres	50-54	11
January 2021	22077	Candasnos	Hombres	55-59	6
January 2021	22077	Candasnos	Hombres	60-64	12
January 2021	22077	Candasnos	Hombres	65-69	2
January 2021	22077	Candasnos	Hombres	Más de 69	1
January 2021	22078	Canfranc	Hombres	16-19	1
January 2021	22078	Canfranc	Hombres	25-29	2
January 2021	22078	Canfranc	Hombres	30-34	2
January 2021	22078	Canfranc	Hombres	35-39	4
January 2021	22078	Canfranc	Hombres	40-44	7
January 2021	22078	Canfranc	Hombres	45-49	5
